piece,condition,axis,bin_beats,cap,config,k,n,beta0_p2,beta0_p3,beta0_p5,beta0_p7,giant_p2,giant_p3,giant_p5,giant_p7,Delta23,Delta25,Delta27,DeltaG23,DeltaG25,DeltaG27
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,8,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,8,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,10,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,A,12,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,8,2,1,1,2,3,1.0,1.0,0.666667,0.336667,0,-1,-2,0.0,0.333333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,8,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,10,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,B,12,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,8,2,1,1,2,2,1.0,1.0,0.666667,0.67,0,-1,-1,0.0,0.333333,0.33
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,8,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,10,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,10,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,10,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,12,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,12,2,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
bwv1049_mov1,beats_bin12_cap300,beats,12,300,C,12,3,1,1,3,3,1.0,1.0,0.336667,0.336667,0,-2,-2,0.0,0.663333,0.663333
bwv1049_mov1,beats_bin16_cap300,beats,16,300,A,8,1,1,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
