piece,axis,config,k,n,beta0_p2,beta0_p3,Delta,giant_p2,giant_p3,DeltaG,V_p2,V_p3,avg_degree_p2,avg_degree_p3,k_over_V_p2,k_over_V_p3,flags
cs1_1pre_cap300,seconds,B,8,5,1,6,-5,1.0,0.8,0.2,300,300,9.84,9.18,0.0267,0.0267,
cs1_1pre_cap300,seconds,B,10,1,1,2,-1,1.0,0.75,0.25,300,300,12.853333,12.7,0.0333,0.0333,
cs1_1pre_cap300,seconds,B,10,2,1,1,0,1.0,1.0,0.0,300,300,12.52,12.353333,0.0333,0.0333,
cs1_1pre_cap300,seconds,B,10,3,1,1,0,1.0,1.0,0.0,300,300,12.353333,12.28,0.0333,0.0333,
cs1_1pre_cap300,seconds,B,10,4,1,1,0,1.0,1.0,0.0,300,300,12.32,11.72,0.0333,0.0333,
cs1_1pre_cap300,seconds,B,10,5,1,1,0,1.0,1.0,0.0,300,300,11.973333,11.586667,0.0333,0.0333,
cs1_1pre_cap300,seconds,B,12,1,1,2,-1,1.0,0.75,0.25,300,300,15.46,15.3,0.04,0.04,
cs1_1pre_cap300,seconds,B,12,2,1,1,0,1.0,1.0,0.0,300,300,14.866667,14.646667,0.04,0.04,
cs1_1pre_cap300,seconds,B,12,3,1,1,0,1.0,1.0,0.0,300,300,14.626667,14.606667,0.04,0.04,
cs1_1pre_cap300,seconds,B,12,4,1,1,0,1.0,1.0,0.0,300,300,14.46,13.806667,0.04,0.04,
cs1_1pre_cap300,seconds,B,12,5,1,1,0,1.0,1.0,0.0,300,300,14.22,13.966667,0.04,0.04,
cs1_1pre_cap300,seconds,C,8,1,1,2,-1,1.0,0.75,0.25,300,300,10.366667,10.053333,0.0267,0.0267,
cs1_1pre_cap300,seconds,C,8,2,1,1,0,1.0,1.0,0.0,300,300,10.086667,10.14,0.0267,0.0267,
cs1_1pre_cap300,seconds,C,8,3,1,1,0,1.0,1.0,0.0,300,300,10.093333,10.013333,0.0267,0.0267,
cs1_1pre_cap300,seconds,C,8,4,2,9,-7,0.97,0.726667,0.2433,300,300,10.006667,9.473333,0.0267,0.0267,
cs1_1pre_cap300,seconds,C,8,5,1,6,-5,1.0,0.8,0.2,300,300,9.88,9.18,0.0267,0.0267,
cs1_1pre_cap300,seconds,C,10,1,1,2,-1,1.0,0.75,0.25,300,300,12.853333,12.7,0.0333,0.0333,
cs1_1pre_cap300,seconds,C,10,2,1,1,0,1.0,1.0,0.0,300,300,12.486667,12.326667,0.0333,0.0333,
