piece,texture_group,axis,p,n_levels,mean_frac_SC_pi,mean_frac_AI_pi,mean_frac_both_pi,mean_frac_SC_trunc,mean_frac_AI_trunc,mean_frac_both_trunc,mean_coverage,mean_coh_pi,mean_coh_pi_valid
cs1_gig,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
cs1_gig,mono,beats,3,4,0.07407407407407407,0.904320987654321,0.05864197530864197,0.07407407407407407,0.9506172839506173,0.05864197530864197,1.0,0.755144,0.7551440329218106
cs1_men,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
cs1_men,mono,beats,3,4,0.0,0.9814814814814815,0.0,0.0,0.9938271604938271,0.0,1.0,0.951646,0.9516460905349794
cs1_pre,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
cs1_pre,mono,beats,3,4,0.030864197530864196,0.9691358024691358,0.030864197530864196,0.033950617283950615,0.9876543209876543,0.033950617283950615,1.0,0.8703705,0.8703703703703703
cs1_sar,mono,beats,2,5,0.0625,1.0,0.0625,0.0125,1.0,0.0125,0.5,0.484375,0.96875
cs1_sar,mono,beats,3,4,0.0,0.9938271604938271,0.0,0.0,0.9938271604938271,0.0,1.0,0.9866254999999999,0.9866255144032922
goldberg_aria,poly,beats,2,5,0.0875,1.0,0.0875,0.0875,1.0,0.0875,0.5,0.478125,0.95625
goldberg_aria,poly,beats,3,4,0.09876543209876543,0.9660493827160493,0.09876543209876543,0.09876543209876543,0.9660493827160493,0.09876543209876543,1.0,0.723251,0.7232510288065843
goldberg_aria,poly,beats,5,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.648,0.648
goldberg_aria,poly,beats,7,2,0.0,0.9795918367346939,0.0,0.0,0.9795918367346939,0.0,1.0,0.654519,0.6545189504373178
mozart_k331_alla_turca,mono,beats,2,5,0.6,0.9625,0.5625,0.6,0.9625,0.5625,0.5,0.340625,0.68125
mozart_k331_alla_turca,mono,beats,3,4,0.18209876543209874,0.9722222222222222,0.16666666666666666,0.16666666666666666,0.9753086419753086,0.15740740740740738,1.0,0.61625525,0.6162551440329218
mozart_k331_alla_turca,mono,beats,5,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.74,0.74
mozart_k331_alla_turca,mono,beats,7,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6778425,0.6778425655976676
mozart_k545_mov1,mono,beats,2,5,0.2,0.85,0.2,0.05,1.0,0.05,0.5,0.375,0.75
mozart_k545_mov1,mono,beats,3,4,0.021604938271604937,0.9783950617283951,0.018518518518518517,0.021604938271604937,0.9814814814814815,0.018518518518518517,1.0,0.825103,0.8251028806584362
mozart_k545_mov1,mono,beats,5,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.9279999999999999,0.9279999999999999
mozart_k545_mov1,mono,beats,7,2,0.030612244897959183,0.9081632653061225,0.030612244897959183,0.02040816326530612,0.9183673469387755,0.02040816326530612,1.0,0.5918370000000001,0.5918367346938775
